Number|Unit|Chinese|Pinyin|Part of Speech|English|Chinese Example|Example Pinyin|English Translation
2581|Unit 44|力争|lìzhēng|v.|strive for|力争完成；力争实现|lìzhēng wánchéng; lìzhēng shíxiàn|strive to complete; strive to realize
2582|Unit 44|历程|lìchéng|n.|course; experience|艰苦的历程；人生历程|jiānkǔ de lìchéng; rénshēng lìchéng|a difficult course; life's journey
2583|Unit 44|历届|lìjiè|adj.|all previous|历届毕业生；历届总统|lìjiè bìyèshēng; lìjiè zǒngtǒng|graduates from previous years; previous presidents
2584|Unit 44|历经|lìjīng|v.|go through|历经改革；历经苦难|lìjīng gǎigé; lìjīng kǔnàn|go through reform; go through hardship
2585|Unit 44|历来|lìlái|adv.|always|历来如此；历来重视|lìlái rúcǐ; lìlái zhòngshì|always been this way; have always attached importance
2586|Unit 44|历时|lìshí|v./adj.|take a period of time; diachronic|历时一个月；历时最长；历时研究；历时发展|lìshí yí ge yuè; lìshí zuì cháng; lìshí yánjiū; lìshí fāzhǎn|take one month; take the longest time; diachronic research; diachronic development
2587|Unit 44|立方|lìfāng|n./m.|cube; cubic meter|立方体；立方结构；15立方米|lìfāngtǐ; lìfāng jiégòu; shíwǔ lìfāng mǐ|cube; cubic structure; 15 cubic meters
2588|Unit 44|立方米|lìfāngmǐ|m.|cubic meter|80立方米的混凝土|bāshí lìfāngmǐ de hùnníngtǔ|80 cubic meters of concrete
2589|Unit 44|立功|lì//gōng|v.|make contributions|有立功表现；多次立功；立了大功|yǒu lìgōng biǎoxiàn; duō cì lìgōng; lì le dà gōng|show meritorious performance; make contributions many times; make a great contribution
2590|Unit 44|立交桥|lìjiāoqiáo|n.|flyover; overpass|一座立交桥；立交桥上；建立交桥|yí zuò lìjiāoqiáo; lìjiāoqiáo shàng; jiàn lìjiāoqiáo|an overpass; on the overpass; build an overpass
2591|Unit 44|立体|lìtǐ|adj.|three-dimensional; tridimensional|立体呈现；立体的卡片；人物形象立体丰满|lìtǐ chéngxiàn; lìtǐ de kǎpiàn; rénwù xíngxiàng lìtǐ fēngmǎn|present in three dimensions; three-dimensional card; a vivid and full character image
2592|Unit 44|立足|lìzú|v.|gain a foothold; base oneself upon|立足之地；难以立足；立足于现实|lìzú zhī dì; nányǐ lìzú; lìzú yú xiànshí|a place to stand; hard to gain a foothold; be based on reality
2593|Unit 44|励志|lìzhì|v.|be determined to fulfill one's aspirations|励志故事；励志电影|lìzhì gùshi; lìzhì diànyǐng|inspirational story; inspirational movie
