Number|Unit|Chinese|Pinyin|Part of Speech|English|Chinese Example|Example Pinyin|English Translation
2084|Unit 35|阶梯|jiētī|n.|ladder|最后一级阶梯；知识的阶梯；走向成功的阶梯||
2085|Unit 35|皆|jiē|adv.|all|比比皆是；尽人皆知||
2086|Unit 35|结|jiē|v.|bear fruit|结满了果实；结出果子||
2087|Unit 35|结果|jiē//guǒ|v.|bear fruit|开花结果；结了不少果||
2088|Unit 35|接班|jiē//bān|v.|take one's turn on duty; be a successor to sb.|下午三点接班；接班的司机；接父亲的班||
2089|Unit 35|接班人|jiēbānrén|n.|successor|培养接班人；新一代接班人||
2090|Unit 35|接二连三|jiē'èr-liánsān|adv.|one after another|接二连三的失败让他感到绝望。||
2091|Unit 35|接轨|jiē//guǐ|v.|join up the track; integrate|顺利接轨；与国际接轨||
2092|Unit 35|接济|jiējì|v.|give financial help to|接济穷人；接济500元；靠亲戚接济生活||
2093|Unit 35|接见|jiējiàn|v.|receive|接见代表团；接见客人；亲自接见||
2094|Unit 35|接力|jiēlì|v.|relay|400米接力跑；接力比赛||
2095|Unit 35|接纳|jiēnà|v.|admit into; adopt|接纳新会员；展览会每日接纳上万人参观；虚心接纳意见||
2096|Unit 35|接手|jiēshǒu|v.|take over|接手工作；由新同事接手||
2097|Unit 35|接送|jiēsòng|v.|pick up and drop off|接送孩子上学；轮流接送||
2098|Unit 35|接替|jiētì|v.|take over; replace|接替他的岗位；由……接替||
2099|Unit 35|接听|jiētīng|v.|answer phone|接听电话；拒绝接听||
2100|Unit 35|接通|jiētōng|v.|put through|接通电源；无法接通||
