Number|Unit|Chinese|Pinyin|Part of Speech|English|Chinese Example|Example Pinyin|English Translation
2021|Unit 34|健壮|jiànzhuàng|adj.|healthy and strong|健壮的青年；身体健壮||
2022|Unit 34|溅|jiàn|v.|splash|汤溅了出来；油溅在衣服上||
2023|Unit 34|鉴别|jiànbié|v.|differentiate|鉴别材料；鉴别真假；仔细鉴别||
2024|Unit 34|鉴赏|jiànshǎng|v.|appreciate|鉴赏家；鉴赏大自然的美；鉴赏古董||
2025|Unit 34|鉴于|jiànyú|prep.|in view of|鉴于此；鉴于以上原因||
2026|Unit 34|姜|jiāng|n.|ginger|一块姜；姜片||
2027|Unit 34|僵|jiāng|adj.|stiff; deadlocked|冻僵了；把关系弄僵了||
2028|Unit 34|僵化|jiānghuà|v.|become rigid|僵化的做法；思想僵化||
2029|Unit 34|僵局|jiāngjú|n.|deadlock|打破僵局；陷入僵局||
2030|Unit 34|讲解|jiǎngjiě|v.|explain|讲解知识；详细讲解||
2031|Unit 34|讲述|jiǎngshù|v.|tell about|讲述人生经历；生动地讲述||
2032|Unit 34|讲学|jiǎng//xué|v.|give/deliver lectures|去国外讲学||
2033|Unit 34|奖杯|jiǎngbēi|n.|trophy|一座奖杯；冠军奖杯；获得奖杯||
2034|Unit 34|奖牌|jiǎngpái|n.|medal|一块奖牌；争夺冠军奖牌||
2035|Unit 34|奖品|jiǎngpǐn|n.|prize|丰厚的奖品；颁发奖品||
2036|Unit 34|奖项|jiǎngxiàng|n.|award category/title|设立奖项；赢得无数奖项||
2037|Unit 34|降临|jiànglín|v.|befall|危险降临；突然降临||
2038|Unit 34|交叉|jiāochā|v.|overlap; alternate|交叉学科；交叉进行||
2039|Unit 34|交锋|jiāo//fēng|v.|have a confrontation|直接交锋；面对面交锋；正面交锋||
2040|Unit 34|交付|jiāofù|v.|pay; hand over|交付定金；交付使用；按时交付||
