Number|Unit|Chinese|Pinyin|Part of Speech|English|Chinese Example|Example Pinyin|English Translation
2101|Unit 36|揭发|jiēfā|v.|expose; unmask|揭发犯罪活动；被人揭发||
2102|Unit 36|揭露|jiēlù|v.|unmask|揭露真相；揭露问题；无情地揭露||
2103|Unit 36|揭示|jiēshì|v.|reveal|揭示出来；揭示规律；深刻地揭示||
2104|Unit 36|揭晓|jiēxiǎo|v.|announce; publish|揭晓结果；提前揭晓||
2105|Unit 36|节俭|jiéjiǎn|adj.|frugal|节俭的习惯；生活节俭||
2106|Unit 36|节气|jiéqì|n.|solar term|二十四节气中蕴涵着中国古人的智慧。||
2107|Unit 36|节水|jiéshuǐ|v.|save water|节水节电；节水设备||
2108|Unit 36|节衣缩食|jiéyī-suōshí|v.|scrimp and save|父亲为了供儿女读书，过着节衣缩食的生活。||
2109|Unit 36|劫|jié|v.|rob|劫走；劫财||
2110|Unit 36|劫持|jiéchí|v.|hijack|劫持车辆；劫持乘客||
2111|Unit 36|洁净|jiéjìng|adj.|clean; spotless|洁净的水；洁净的空气；保持洁净||
2112|Unit 36|结冰|jiébīng|v.|ice over; freeze|河水结冰；遇冷结冰||
2113|Unit 36|结晶|jiéjīng|n.|crystal; crystallization|盐结晶；爱情的结晶；知识的结晶||
2114|Unit 36|结局|jiéjú|n.|final result; ending|悲惨的结局；故事的结局||
2115|Unit 36|结识|jiéshí|v.|get acquainted with|结识新朋友；与他结识||
2116|Unit 36|结尾|jiéwěi|v./n.|end; ending|以悲剧结尾；影片的结尾；大团圆的结尾||
2117|Unit 36|截|jié|v./m.|cut; stop; section|截断；截成两段；警察截住了歹徒；半截木头；你话怎么就说半截||
2118|Unit 36|截然不同|jiérán-bùtóng|adj.|be entirely different|风景截然不同；两人有着截然不同的结局||
2119|Unit 36|竭尽全力|jiéjìn-quánlì|v.|do one's utmost|竭尽全力奋斗；竭尽全力救治病人||
2120|Unit 36|竭力|jiélì|adv.|try one's best; spare no effort|竭力证明；竭力完成||
2121|Unit 36|解答|jiědá|v.|answer|解答问题；耐心解答||
2122|Unit 36|解读|jiědú|v.|read and understand; analyse; interpret|解读历史；解读经典；重新解读；详细解读||
2123|Unit 36|解雇|jiěgù|v.|fire; dismiss|被公司解雇；解雇工人||
